"type";"size";"time"
1;1000;0.000011
1;1000;0.000007
1;1000;0.000006
1;1000;0.000008
1;1000;0.000008
1;1000;0.000007
1;1000;0.000005
1;1000;0.000006
1;1000;0.000006
1;1000;0.000005
1;2000;0.000010
1;2000;0.000009
1;2000;0.000011
1;2000;0.000011
1;2000;0.000011
1;2000;0.000011
1;2000;0.000010
1;2000;0.000010
1;2000;0.000009
1;2000;0.000010
1;3000;0.000013
1;3000;0.000013
1;3000;0.000013
1;3000;0.000013
1;3000;0.000013
1;3000;0.000013
1;3000;0.000013
1;3000;0.000013
1;3000;0.000014
1;3000;0.000014
1;4000;0.000017
1;4000;0.000018
1;4000;0.000018
1;4000;0.000019
1;4000;0.000017
1;4000;0.000020
1;4000;0.000020
1;4000;0.000006
1;4000;0.000006
1;4000;0.000007
1;5000;0.000008
1;5000;0.000009
1;5000;0.000008
1;5000;0.000008
1;5000;0.000008
1;5000;0.000008
1;5000;0.000008
1;5000;0.000009
1;5000;0.000008
1;5000;0.000008
1;6000;0.000010
1;6000;0.000010
1;6000;0.000010
1;6000;0.000010
1;6000;0.000012
1;6000;0.000012
1;6000;0.000011
1;6000;0.000010
1;6000;0.000010
1;6000;0.000010
1;7000;0.000012
1;7000;0.000012
1;7000;0.000012
1;7000;0.000011
1;7000;0.000011
1;7000;0.000012
1;7000;0.000009
1;7000;0.000009
1;7000;0.000009
1;7000;0.000009
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;8000;0.000010
1;9000;0.000011
1;9000;0.000011
1;9000;0.000011
1;9000;0.000011
1;9000;0.000011
1;9000;0.000010
1;9000;0.000010
1;9000;0.000009
1;9000;0.000010
1;9000;0.000010
